Orig Order,GeoType,Borough,GeoID,Name,NTA Type,Pop_10,Pop_20,Pop Change,Natural Change,Net Migration
251,NTA2020,Staten Island,SI0106,Port Richmond,0,"20,754","22,609","1,855","1,906",-51
252,NTA2020,Staten Island,SI0107,Mariner's Harbor-Arlington-Graniteville,0,"31,474","33,492","2,018","2,516",-498
253,NTA2020,Staten Island,SI0191,Snug Harbor,9,3,8,5,0,5
254,NTA2020,Staten Island,SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,0,"34,425","36,259","1,834",718,"1,116"
255,NTA2020,Staten Island,SI0202,New Dorp-Midland Beach,0,"27,623","29,083","1,460",874,586
256,NTA2020,Staten Island,SI0203,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,0,"30,851","32,822","1,971",-273,"2,244"
257,NTA2020,Staten Island,SI0204,New Springville-Willowbrook-Bulls Head-Travis,0,"39,310","42,871","3,561","1,571","1,990"
258,NTA2020,Staten Island,SI0291,Freshkills Park (North),9,53,15,-38,0,-38
259,NTA2020,Staten Island,SI0301,Oakwood-Richmondtown,0,"22,049","22,388",339,-30,369
260,NTA2020,Staten Island,SI0302,Great Kills-Eltingville,0,"52,868","54,699","1,831",674,"1,157"
261,NTA2020,Staten Island,SI0303,Arden Heights-Rossville,0,"29,916","30,683",767,"1,510",-743
262,NTA2020,Staten Island,SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,0,"38,160","40,534","2,374","1,375",999
263,NTA2020,Staten Island,SI0305,Tottenville-Charleston,0,"16,860","16,089",-771,412,"-1,183"
264,NTA2020,Staten Island,SI0391,Freshkills Park (South),9,97,95,-2,9,-11
265,NTA2020,Staten Island,SI9561,Fort Wadsworth,6,731,495,-236,120,-356
266,NTA2020,Staten Island,SI9591,Hoffman & Swinburne Islands,9,0,0,0,0,0
267,NTA2020,Staten Island,SI9592,Miller Field,9,31,46,15,-1,16
268,NTA2020,Staten Island,SI9593,Great Kills Park,9,0,5,5,0,5
